Burden_m,Blast_lon,Blast_lat,Spacing_m,Number_of_Holes,Depth_m,Total_Explosive_Quantity_kg,Charge_Factor,Powder_Factor,Measured_PPV_mm_per_s,Time_to_Peak_s,Distance_from_Dam_m,Time
3.62,77.13337673,11.46476947,4.51,35,12,227.58,1.25,1.62,0.64,0.099,2203.89,1
3.16,77.1325129,11.46507759,4.37,42,13.1,249.4,1.33,1.72,0.67,0.088,2103.71,2
3.7,77.13164908,11.46538572,4.05,46,12.84,338.19,1.12,1.55,0.7,0.069,2003.53,3
3.11,77.13078525,11.46569384,3.84,29,12.86,208.08,0.98,1.64,2.73,0.056,1903.35,4
3.65,77.12992143,11.46600197,3.95,33,12.99,210.61,1.12,1.63,2.77,0.098,1803.18,5
3.02,77.1290576,11.4663101,4.3,46,10.42,222.08,1.02,1.54,2.81,0.094,1703,6
3.23,77.12819377,11.46661822,4.48,51,12.86,321.14,1.26,1.76,4.86,0.088,1602.82,7
3.34,77.12732995,11.46692635,4.28,45,11.22,351.45,1.19,1.61,4.91,0.051,1502.65,8
3.4,77.12646612,11.46723448,4.42,29,13.3,222.09,1.15,1.75,4.97,0.085,1402.47,9
3.4,77.12597246,11.48778369,3.95,36,11.06,323.55,1,1.76,0.64,0.088,2203.84,10
3.12,77.12544519,11.48704571,4.27,35,11.43,302.35,1.32,1.61,0.67,0.1,2103.67,11
3.39,77.12491792,11.48630774,4,37,12.48,345.39,1.11,1.45,0.7,0.096,2003.49,12
3.5,77.12439066,11.48556976,4.09,36,13.3,347.04,1.29,1.68,2.73,0.079,1903.32,13
3.23,77.12386339,11.48483179,3.88,40,12.18,292.32,1.23,1.42,2.77,0.041,1803.15,14
3.13,77.12333612,11.48409382,3.98,48,13.19,326.66,0.97,1.44,2.81,0.097,1702.97,15
3.76,77.12280885,11.48335584,4.34,30,10.52,321.74,1.14,1.46,4.86,0.097,1602.8,16
3.46,77.12228158,11.48261787,3.83,32,10.72,309.2,1.16,1.54,4.91,0.043,1502.62,17
3.31,77.12175431,11.48187989,3.94,38,13.42,297.63,1.21,1.64,4.97,0.066,1402.45,18
3.76,77.11261284,11.4912601,4.35,37,10.59,281.09,1.12,1.42,0.64,0.104,2200.23,19
3.06,77.11269296,11.49036263,4.24,35,12.33,317.32,1.02,1.44,0.67,0.082,2100.05,20
3.59,77.11277308,11.48946516,4.09,48,9.7,216.83,1.01,1.63,0.7,0.099,1999.88,21
3.49,77.1128532,11.48856768,4.41,41,10.93,350.2,1.17,1.7,2.73,0.068,1899.7,22
3.26,77.11293332,11.48767021,4.16,45,9.65,273.21,1.02,1.7,2.77,0.072,1799.53,23
3.46,77.11301343,11.48677274,4.49,29,10.25,293.71,1.18,1.6,2.81,0.11,1699.35,24
3.57,77.11309355,11.48587526,4.35,37,11.82,236.65,1.17,1.76,4.86,0.042,1599.18,25
3.41,77.11317367,11.48497779,4.4,37,10,308.69,1.17,1.58,4.91,0.056,1499,26
3.12,77.11325379,11.48408032,4.21,48,10.13,295.17,1.1,1.71,4.97,0.06,1398.83,27
