Blast_ID,Time,Blast_lat,Blast_lon,Measured_PPV_mm_per_s,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m
B026,2026-03-27 12:00:00,11.898476,78.336426,4.04,1.16,628.0,0.5,0.61,0.62,20.9,4.5,5.9
B002,2026-03-27 12:00:00,11.904659,78.326864,5.06,0.9,595.3,3.1,0.53,0.69,20.9,4.8,4.7
B006,2026-03-27 12:00:00,11.908178,78.324075,1.84,1.4,1309.0,8.1,0.76,0.53,7.8,3.5,4.6
B008,2026-03-27 12:00:00,11.911267,78.322213,2.02,1.07,1554.5,3.6,0.79,0.78,11.3,4.0,4.3
B015,2026-03-27 12:00:00,11.905149,78.336312,5.72,1.3,1463.0,0.8,0.46,0.76,20.2,3.0,3.8
B001,2026-03-27 12:00:00,11.902849,78.328399,3.51,1.33,1560.3,7.3,0.71,0.43,14.0,3.2,5.7
B034,2026-03-27 12:00:00,11.897326,78.342884,1.69,0.69,527.3,0.9,0.67,0.43,13.0,4.7,3.6
B014,2026-03-27 12:00:00,11.905097,78.333563,4.1,0.68,1845.8,9.0,0.65,0.54,13.7,4.5,5.7
B011,2026-03-27 12:00:00,11.913607,78.319841,0.92,1.08,635.4,8.4,0.53,0.47,6.0,4.2,5.2
B005,2026-03-27 12:00:00,11.90706,78.324601,1.9,0.67,934.6,1.6,0.77,0.72,20.8,4.7,5.5
B010,2026-03-27 12:00:00,11.913313,78.320449,0.74,1.49,863.1,6.7,0.7,0.5,23.2,3.7,5.1
B032,2026-03-27 12:00:00,11.898488,78.341263,2.71,1.19,744.4,0.7,0.66,0.41,19.6,4.9,4.9
B027,2026-03-27 12:00:00,11.899273,78.337794,2.27,0.89,1692.8,2.7,0.58,0.43,5.6,4.9,5.6
B021,2026-03-27 12:00:00,11.909514,78.348074,1.21,0.89,754.2,5.6,0.77,0.68,19.3,3.2,5.0
B007,2026-03-27 12:00:00,11.909179,78.323173,2.66,1.37,510.4,5.1,0.57,0.49,8.0,3.7,5.9
B018,2026-03-27 12:00:00,11.907228,78.342221,1.92,1.48,1089.6,8.9,0.65,0.72,17.6,4.2,4.7
B024,2026-03-27 12:00:00,11.91267,78.354524,1.13,1.4,1007.0,3.8,0.44,0.63,5.9,3.9,4.9
B031,2026-03-27 12:00:00,11.898245,78.339769,1.83,0.99,1097.8,6.2,0.65,0.42,14.4,4.3,4.8
B036,2026-03-27 12:00:00,11.89719,78.343338,1.83,1.28,1710.3,9.9,0.57,0.55,24.4,3.7,5.8
B004,2026-03-27 12:00:00,11.906473,78.325247,3.77,0.63,1454.6,3.1,0.6,0.76,11.2,3.8,5.4
B028,2026-03-27 12:00:00,11.898894,78.337928,2.5,0.97,759.9,1.6,0.5,0.62,22.9,4.3,4.2
B019,2026-03-27 12:00:00,11.908656,78.343714,0.35,1.25,921.2,0.2,0.66,0.47,28.5,4.9,5.8
B035,2026-03-27 12:00:00,11.897,78.343327,2.66,0.85,677.2,7.0,0.65,0.75,23.4,4.6,4.2
B022,2026-03-27 12:00:00,11.91133,78.350604,1.39,0.73,1277.5,8.8,0.7,0.68,22.6,3.7,4.2
B033,2026-03-27 12:00:00,11.897343,78.341089,2.1,1.18,1187.4,5.5,0.78,0.55,29.0,4.8,4.0
B016,2026-03-27 12:00:00,11.906281,78.338065,2.46,0.6,741.2,5.5,0.68,0.66,10.6,4.4,4.1
B020,2026-03-27 12:00:00,11.908886,78.346809,0.58,0.61,1892.5,4.3,0.79,0.79,26.3,3.6,4.5
B029,2026-03-27 12:00:00,11.898946,78.338537,2.84,1.26,1331.5,6.1,0.57,0.5,13.9,4.5,3.5
B017,2026-03-27 12:00:00,11.907129,78.339728,2.02,1.27,1474.4,8.5,0.66,0.63,7.3,3.7,4.2
B030,2026-03-27 12:00:00,11.898747,78.339551,1.75,0.64,561.1,8.6,0.68,0.59,7.4,4.0,4.7
B009,2026-03-27 12:00:00,11.912067,78.321807,1.97,0.63,1414.3,5.0,0.42,0.51,27.7,3.5,3.9
B003,2026-03-27 12:00:00,11.905515,78.326036,3.8,1.24,1641.2,5.6,0.71,0.6,18.1,3.9,3.6
B025,2026-03-27 12:00:00,11.899056,78.335866,4.22,1.13,545.8,0.4,0.73,0.54,8.2,4.0,5.4
B023,2026-03-27 12:00:00,11.912104,78.352229,1.15,1.33,1800.6,9.1,0.6,0.6,25.0,4.3,5.3
B013,2026-03-27 12:00:00,11.903947,78.331766,4.35,0.7,1887.0,8.8,0.5,0.66,25.4,4.1,4.8
B012,2026-03-27 12:00:00,11.915864,78.31914,0.12,1.06,839.7,6.5,0.47,0.68,14.7,4.9,3.8
