Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Severity_Ratio,Rec_Target_PPV_mm_per_s,Rec_Distance_from_Dam_m,Rec_Charge_Factor,Rec_Burden_m,Rec_Spacing_m
9.37,1343,1.85,544,437.2,0.427,0.846,2,2.24,3.8,1.873,3.55,2107.3,0.96,2.7,4.49
19.16,1002,0.78,813,285.5,0.96,0.53,29,3.69,5.26,3.832,3.04,2287.8,0.2,5.14,7.58
15.44,262,1.66,917,4.5,0.823,0.437,7,2.04,2.64,3.089,3.23,651.8,0.54,2.58,3.31
13.18,2074,1.64,1601,128.9,0.848,0.494,6,3.24,4.01,2.635,3.33,3847.2,0.47,3.97,4.89
5.65,369,2.24,825,203.4,0.877,0.665,11,2.22,3.84,1.13,4.74,515.8,1.99,2.41,3.95
5.65,731,1.26,1939,230.0,0.849,0.704,18,3.22,4.77,1.13,4.66,802.8,1.13,3.45,4.87
3.99,1005,1.24,2486,148.8,0.665,0.629,25,2.12,5.88,1.01,4.66,1055.0,1.19,2.22,6.07
17.72,2114,1.74,2761,16.5,0.84,0.664,27,4.51,4.29,3.545,2.46,4762.8,0.47,6.37,5.88
13.22,1741,1.77,573,295.1,0.775,0.682,14,2.63,5.95,2.644,3.35,3303.6,0.67,3.18,7.41
15.04,304,1.44,2102,262.1,0.912,0.862,13,2.98,3.56,3.007,2.84,600.9,0.51,4.07,4.71
3.35,681,1.39,1008,141.5,0.881,0.463,13,4.61,2.61,1.01,4.9,829.8,1.34,4.71,2.71
19.49,1679,1.49,2879,19.0,0.425,0.861,2,4.24,3.08,3.898,2.18,3896.1,0.29,5.88,4.37
17.15,940,2.22,1187,497.3,0.627,0.813,28,2.66,3.88,3.43,2.71,1994.7,0.65,3.44,5.13
6.61,1936,1.42,1156,241.0,0.421,0.845,5,2.22,3.61,1.322,4.5,2374.1,1.1,2.32,3.82
6.09,1351,2.38,2042,378.0,0.461,0.841,22,4.15,2.84,1.218,4.55,1622.9,1.9,4.25,3.08
6.12,1819,1.51,1792,226.2,0.761,0.682,27,3.17,4.01,1.224,4.9,2205.7,1.25,3.39,4.22
8.17,1742,2.4,1899,21.6,0.924,0.527,13,4.3,3.68,1.634,4.4,2399.1,1.47,4.6,3.99
11.92,2743,2.17,2052,154.8,0.472,0.722,13,3.34,2.93,2.384,2.85,4676.4,0.93,4.22,3.39
10.34,2397,1.22,1575,160.1,0.671,0.975,19,3.04,3.54,2.069,3.11,3846.0,0.64,3.58,4.23
7.95,974,2.23,824,419.2,0.947,0.753,12,3.35,5.6,1.59,3.6,1309.5,1.3,3.73,6.28
13.4,1564,0.72,1491,327.1,0.889,0.407,26,4.25,3.56,2.68,3.24,2932.9,0.23,5.2,4.41
5.37,2343,2.35,2493,137.7,0.712,0.436,34,4.71,5.0,1.074,4.7,2498.0,2.09,4.92,5.15
7.97,789,1.76,1216,483.9,0.863,0.996,44,2.15,4.64,1.593,4.19,1018.5,1.01,2.41,5.02
9.23,2110,0.61,776,160.8,0.714,0.443,1,3.57,4.0,1.846,3.59,3141.9,0.39,4.17,4.5
10.75,2786,1.79,651,499.1,0.495,0.428,40,2.1,3.34,2.151,3.54,4531.4,0.74,2.64,4.05
16.35,1522,2.45,1454,498.1,0.475,0.612,44,3.41,3.79,3.27,3.04,3283.9,0.69,4.41,4.92
6.39,2101,0.64,2006,95.6,0.513,0.982,39,4.66,4.57,1.279,4.47,2529.3,0.52,4.76,4.78
11.74,771,1.61,758,156.4,0.611,0.591,23,3.08,3.73,2.348,3.3,1301.6,0.69,3.83,4.37
13.07,1271,2.0,2871,243.0,0.958,0.646,28,4.8,3.25,2.614,2.68,2308.5,0.63,6.11,3.98
3.79,1595,2.12,1368,332.1,0.88,0.78,2,3.89,2.91,1.01,4.89,1645.0,2.06,3.99,3.01
13.33,1043,1.33,1691,264.0,0.66,0.414,44,4.8,5.58,2.666,3.11,1910.7,0.44,5.95,6.78
5.9,2346,0.91,1187,484.7,0.696,0.939,3,4.27,4.04,1.18,4.57,2682.8,0.73,4.45,4.19
4.11,1549,0.58,809,362.0,0.559,0.712,1,2.31,4.69,1.01,4.9,1707.5,0.53,2.41,4.79
19.13,2639,1.66,2002,106.0,0.823,0.68,19,2.69,4.22,3.826,2.96,6185.2,0.45,3.73,6.07
19.42,995,1.41,972,52.5,0.882,0.916,14,3.18,5.55,3.883,2.86,2394.4,0.31,4.55,7.81
16.74,2289,2.4,1313,344.2,0.543,0.972,31,2.51,4.41,3.349,2.61,4903.7,0.71,3.28,6.06
8.18,1436,0.62,1345,79.2,0.425,0.654,41,3.48,4.18,1.636,4.13,1965.6,0.33,3.81,4.64
4.66,264,1.87,1664,393.8,0.774,0.503,0,3.41,5.74,1.01,4.87,397.9,1.82,3.6,5.93
14.63,2461,0.55,1166,155.5,0.738,0.889,37,4.87,5.02,2.926,2.66,4958.5,0.2,6.41,6.63
10.48,2168,0.84,2809,163.4,0.641,0.642,34,3.3,2.89,2.097,3.3,3492.8,0.43,4.02,3.28
5.07,1205,1.41,2308,5.4,0.786,0.961,6,4.36,3.12,1.015,4.53,1255.0,1.36,4.49,3.22
11.42,1853,1.41,1943,350.5,0.73,0.97,44,4.83,5.25,2.284,3.14,3208.7,0.49,5.7,6.33
3.58,2452,1.87,2267,56.6,0.55,0.469,12,4.63,5.43,1.01,4.9,2502.0,1.81,4.76,5.53
18.46,2038,2.32,1764,386.4,0.639,0.974,0,2.63,4.41,3.692,3.06,4713.3,0.53,3.86,6.0
7.4,470,1.78,854,245.9,0.657,0.621,13,3.49,4.44,1.48,3.92,714.2,1.21,3.92,4.61
14.26,1980,2.41,2372,392.1,0.928,0.788,28,3.04,4.71,2.853,3.36,3787.3,0.67,3.96,6.05
8.3,952,2.26,2524,292.0,0.977,0.421,2,3.2,4.04,1.66,3.61,1452.1,1.33,3.4,4.6
11.84,483,1.67,679,41.2,0.936,0.933,45,3.08,4.88,2.368,2.94,975.0,0.69,3.53,6.04
12.29,2031,2.17,565,382.8,0.832,0.785,23,4.48,2.88,2.459,3.21,3701.1,0.84,5.32,3.37
6.14,2592,1.79,1319,34.9,0.751,0.786,0,3.36,5.86,1.229,4.68,2997.0,1.48,3.66,6.02
19.48,524,0.66,1871,239.4,0.814,0.941,9,3.57,5.13,3.897,2.08,1225.3,0.2,5.11,7.17
16.18,2308,1.98,670,86.2,0.963,0.705,12,4.95,4.71,3.235,2.5,4874.2,0.56,6.75,6.28
18.97,728,0.69,1890,376.2,0.55,0.646,35,2.18,3.61,3.794,2.52,1709.3,0.25,3.08,5.22
18.21,994,1.69,1630,455.8,0.721,0.92,8,3.46,3.06,3.642,2.45,2220.9,0.43,4.9,4.39
13.16,2637,1.91,2986,277.1,0.814,0.845,13,4.32,3.93,2.633,3.29,4864.0,0.68,5.19,4.9
18.67,2474,0.63,1334,263.6,0.808,0.969,35,2.45,4.82,3.734,2.6,5719.6,0.2,3.36,6.63
4.5,697,0.96,726,382.0,0.551,0.964,9,3.83,4.72,1.01,4.64,747.0,0.91,3.93,4.82
6.33,2436,2.33,941,2.5,0.752,0.629,39,2.72,3.84,1.266,4.84,2840.1,1.84,2.88,4.17
3.77,692,1.73,2943,458.9,0.878,0.668,22,4.6,4.65,1.01,4.77,742.0,1.68,4.7,4.75
