Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Dam_State,Dam_State_ID
5.6806,4207,1.0785,1686,159.0248,0.2215,0.7537,2,4.7228,4.8485,Failed,2
14.2656,1441,0.6731,2268,374.713,0.0562,0.2534,9,4.9447,2.7667,Failed,2
11.0067,3763,0.4792,1801,215.5562,0.2556,0.8951,41,4.0292,5.8187,Failed,2
9.02,315,1.6145,2267,43.7743,0.5276,0.5739,13,4.1663,4.7495,Failed,2
2.4247,438,1.9817,1837,141.4006,0.1716,0.3508,11,2.9901,5.1833,Damaged,1
2.4243,4162,1.681,921,209.2911,0.1675,0.8327,41,5.132,5.3124,Damaged,1
0.9654,2808,1.4197,2419,146.2582,0.4626,0.4934,29,2.0847,3.6659,Intact,0
13.006,3252,0.2965,993,166.1028,0.0333,0.9116,31,3.2201,4.3815,Failed,2
9.0566,1850,2.4275,1676,146.888,0.1219,0.928,31,4.5263,6.325,Failed,2
10.6503,2521,2.037,398,20.7496,0.4159,0.1654,41,2.2803,5.5668,Failed,2
0.4067,809,0.8735,1726,318.5474,0.0631,0.0023,31,2.6411,6.3782,Intact,0
14.5517,3826,2.4539,1246,298.6462,0.3968,0.9839,25,4.0625,5.485,Failed,2
12.5034,3742,1.5843,59,326.6917,0.474,0.9061,0,3.96,3.2024,Failed,2
3.2639,4093,1.5396,1511,96.1549,0.4513,0.0554,41,4.5862,2.7581,Damaged,1
2.8092,588,1.9206,716,147.8273,0.8692,0.833,1,4.8441,4.8106,Damaged,1
2.8327,146,2.0671,1572,309.808,0.5301,0.4578,16,2.45,3.9313,Damaged,1
4.6332,3459,1.7099,2226,299.8138,0.468,0.259,29,2.0643,3.6018,Failed,2
7.9189,4973,0.4946,650,253.1652,0.4107,0.8787,38,4.4137,5.7288,Failed,2
6.536,4906,0.978,376,175.2066,0.8176,0.1967,6,3.0549,3.968,Failed,2
4.4393,500,2.3346,1029,456.4655,0.8951,0.9473,26,4.1909,3.768,Failed,2
9.2166,4090,0.7166,678,169.8851,0.8532,0.2056,8,2.5269,5.9,Failed,2
2.1785,3257,1.056,1679,227.8096,0.6735,0.6137,21,3.6416,5.8851,Damaged,1
4.453,4445,1.1938,323,339.0569,0.1374,0.2231,33,3.7655,3.9255,Failed,2
5.5588,490,1.2106,734,271.5107,0.2769,0.5457,45,4.0478,5.83,Failed,2
