Burden_m,Blast_lon,Blast_lat,Spacing_m,Number_of_Holes,Depth_m,Total_Explosive_Quantity_kg,Charge_Factor,Powder_Factor,Measured_PPV_mm_per_s,Time_to_Peak_s,Distance_from_Dam_m,Time,BVII,BVII_Level,SDI,RDI,RDI_Level,Dam_State_M4,Failure_Flag_M4,Rec_Target_PPV_mm_per_s,Rec_Distance_from_Dam_m,Rec_Charge_Factor,Rec_Burden_m,Rec_Spacing_m,X,Y
3.12,77.12544519,11.48704571,4.27,35,11.43,302.35,1.32,1.61,0.67,0.1,2198.8171433147336,11,0.13059752648987116,Low,4.476956241419083e-09,0.0330288839443233,Low,Intact,0,,,,,,77.12544519,11.48704571
3.39,77.12491792,11.48630774,4.0,37,12.48,345.39,1.11,1.45,0.7,0.096,2098.6932070356806,12,0.1056380225938498,Low,4.5825942640129335e-09,0.06605629305830962,Low,Intact,0,,,,,,77.12491792,11.48630774
3.5,77.12439066,11.48556976,4.09,36,13.3,347.04,1.29,1.68,2.73,0.079,1998.5739075167837,13,0.4892414619208056,Moderate,5.071835725933739e-09,0.37621862384023075,Moderate,Damaged,0,,,,,,77.12439066,11.48556976
3.23,77.12386339,11.48483179,3.88,40,12.18,292.32,1.23,1.42,2.77,0.041,1898.4604997088609,14,0.5074467435803071,Moderate,5.579282469514046e-09,0.41062867840196476,Moderate,Damaged,0,,,,,,77.12386339,11.48483179
3.13,77.12333612,11.48409382,3.98,48,13.19,326.66,0.97,1.44,2.81,0.097,1798.35370605468,15,0.4700945625175821,Moderate,6.049377032031627e-09,0.44503682579702775,Moderate,Damaged,0,,,,,,77.12333612,11.48409382
3.76,77.12280885,11.48335584,4.34,30,10.52,321.74,1.14,1.46,4.86,0.097,1698.253826692417,16,0.8539169338055301,High,6.903293965837158e-09,0.7579649194355019,High,Failed,1,4.8,1812.14,1.11,3.9,4.45,77.12280885,11.48335584
3.46,77.12228158,11.48261787,3.83,32,10.72,309.2,1.16,1.54,4.91,0.043,1598.1641145403942,17,0.8958387598672758,High,7.799132725704434e-09,0.7937538227361491,High,Failed,1,4.81,1695.47,1.33,3.61,4.38,77.12228158,11.48261787
3.31,77.12175431,11.48187989,3.94,38,13.42,297.63,1.21,1.64,4.97,0.066,1498.0846796756914,18,0.9475921105791298,High,8.746724836283563e-09,0.8309254439124631,High,Failed,1,4.76,1619.43,1.26,3.28,3.95,77.12175431,11.48187989
3.76,77.11261284,11.4912601,4.35,37,10.59,281.09,1.12,1.42,0.64,0.104,2231.7571188030015,19,0.061040387115634816,Low,8.807765223399199e-09,0.019373720448968124,Low,Intact,0,,,,,,77.11261284,11.4912601
3.06,77.11269296,11.49036263,4.24,35,12.33,317.32,1.02,1.44,0.67,0.082,2131.714474613683,20,0.06661299850295747,Low,8.874378221902156e-09,0.05237768929074294,Low,Intact,0,,,,,,77.11269296,11.49036263
3.59,77.11277308,11.48946516,4.09,48,9.7,216.83,1.01,1.63,0.7,0.099,2031.6849007150456,21,0.09718184112049623,Low,8.971560063022652e-09,0.08537788936273386,Low,Intact,0,,,,,,77.11277308,11.48946516
3.49,77.1128532,11.48856768,4.41,41,10.93,350.2,1.17,1.7,2.73,0.068,1931.6693165028812,22,0.475199818968328,Moderate,9.44675988199098e-09,0.39551031422108657,Moderate,Damaged,0,,,,,,77.1128532,11.48856768
3.26,77.11293332,11.48767021,4.16,45,9.65,273.21,1.02,1.7,2.77,0.072,1831.6724189297308,23,0.46837150533427246,Moderate,9.915131387325252e-09,0.42988677348926346,Moderate,Damaged,0,,,,,,77.11293332,11.48767021
3.46,77.11301343,11.48677274,4.49,29,10.25,293.71,1.18,1.6,2.81,0.11,1731.696166125264,24,0.5476483499689387,Moderate,1.046277973729419e-08,0.46425727991505106,Moderate,Damaged,0,,,,,,77.11301343,11.48677274
3.57,77.11309355,11.48587526,4.35,37,11.82,236.65,1.17,1.76,4.86,0.042,1631.743183777444,25,0.8814283640482474,High,1.1344208101342439e-08,0.7771430163448859,High,Failed,1,4.83,1708.96,1.28,3.52,4.53,77.11309355,11.48587526
3.41,77.11317367,11.48497779,4.4,37,10.0,308.69,1.17,1.58,4.91,0.056,1531.8205024829072,26,0.9177464718269202,High,1.226195457316936e-08,0.8128837569180156,High,Failed,1,4.76,1644.29,1.26,3.35,4.29,77.11317367,11.48497779
3.12,77.11325379,11.48408032,4.21,48,10.13,295.17,1.1,1.71,4.97,0.06,1431.9331217450906,27,0.9361111111111111,High,1.3198065684280471e-08,0.85,High,Failed,1,4.72,1545.91,1.52,3.41,4.04,77.11325379,11.48408032
3.62,77.13337673,11.46476947,4.51,35,12.0,227.58,1.25,1.62,0.64,0.099,2294.629791122655,1,0.07902239662958163,Low,0.0,0.0012446188518038526,Low,Intact,0,,,,,,77.13337673,11.46476947
3.16,77.1325129,11.46507759,4.37,42,13.1,249.4,1.33,1.72,0.67,0.088,2194.5054505458183,2,0.1346185648668805,Low,1.3461856486688052e-10,0.03427214454355488,Low,Intact,0,,,,,,77.1325129,11.46507759
3.7,77.13164908,11.46538572,4.05,46,12.84,338.19,1.12,1.55,0.7,0.069,2094.387028509497,3,0.10965747095944356,Low,2.442760358263241e-10,0.06729796364612561,Low,Intact,0,,,,,,77.13164908,11.46538572
3.11,77.13078525,11.46569384,3.84,29,12.86,208.08,0.98,1.64,2.73,0.056,1994.2739139492458,4,0.4043702379876517,Moderate,6.486462738139758e-10,0.37745851101818806,Moderate,Damaged,0,,,,,,77.13078525,11.46569384
3.65,77.12992143,11.46600197,3.95,33,12.99,210.61,1.12,1.63,2.77,0.098,1894.168431577642,5,0.4781287899325759,Moderate,1.1267750637465517e-09,0.4118662803097891,Moderate,Damaged,0,,,,,,77.12992143,11.46600197
3.02,77.1290576,11.4663101,4.3,46,10.42,222.08,1.02,1.54,2.81,0.094,1794.0699953892752,6,0.4852186434700618,Moderate,1.6119937072166135e-09,0.44627201786061854,Moderate,Damaged,0,,,,,,77.1290576,11.4663101
3.23,77.12819377,11.46661822,4.48,51,12.86,321.14,1.26,1.76,4.86,0.088,1693.981392937737,7,0.8884822075471217,High,2.500475914763735e-09,0.7591968598437601,High,Failed,1,4.83,1740.04,1.44,3.92,4.43,77.12819377,11.46661822
3.34,77.12732995,11.46692635,4.28,45,11.22,351.45,1.19,1.61,4.91,0.051,1593.9047633725474,8,0.9054002612935337,High,3.405876176057269e-09,0.7949819908290736,High,Failed,1,4.8,1695.48,1.3,3.48,4.47,77.12732995,11.46692635
3.4,77.12646612,11.46723448,4.42,29,13.3,222.09,1.15,1.75,4.97,0.085,1493.840610365048,9,0.9321492055386095,High,4.3380253815958786e-09,0.8321492055386095,High,Failed,1,4.72,1612.85,1.22,3.34,3.89,77.12646612,11.46723448
3.4,77.12597246,11.48778369,3.95,36,11.06,323.55,1.0,1.76,0.64,0.088,2298.946194382515,10,0.008333333333333338,Low,4.346358714929212e-09,0.0,Low,Intact,0,,,,,,77.12597246,11.48778369
3.12,77.12544519,11.48704571,4.27,35,11.43,302.35,1.32,1.61,0.67,0.1,2198.8171433147336,11,0.13059752648987116,Low,4.476956241419083e-09,0.0330288839443233,Low,Intact,0,,,,,,77.12544519,11.48704571
3.39,77.12491792,11.48630774,4.0,37,12.48,345.39,1.11,1.45,0.7,0.096,2098.6932070356806,12,0.1056380225938498,Low,4.5825942640129335e-09,0.06605629305830962,Low,Intact,0,,,,,,77.12491792,11.48630774
3.5,77.12439066,11.48556976,4.09,36,13.3,347.04,1.29,1.68,2.73,0.079,1998.5739075167837,13,0.4892414619208056,Moderate,5.071835725933739e-09,0.37621862384023075,Moderate,Damaged,0,,,,,,77.12439066,11.48556976
3.23,77.12386339,11.48483179,3.88,40,12.18,292.32,1.23,1.42,2.77,0.041,1898.4604997088609,14,0.5074467435803071,Moderate,5.579282469514046e-09,0.41062867840196476,Moderate,Damaged,0,,,,,,77.12386339,11.48483179
3.13,77.12333612,11.48409382,3.98,48,13.19,326.66,0.97,1.44,2.81,0.097,1798.35370605468,15,0.4700945625175821,Moderate,6.049377032031627e-09,0.44503682579702775,Moderate,Damaged,0,,,,,,77.12333612,11.48409382
3.76,77.12280885,11.48335584,4.34,30,10.52,321.74,1.14,1.46,4.86,0.097,1698.253826692417,16,0.8539169338055301,High,6.903293965837158e-09,0.7579649194355019,High,Failed,1,4.8,1812.14,1.11,3.9,4.45,77.12280885,11.48335584
3.46,77.12228158,11.48261787,3.83,32,10.72,309.2,1.16,1.54,4.91,0.043,1598.1641145403942,17,0.8958387598672758,High,7.799132725704434e-09,0.7937538227361491,High,Failed,1,4.81,1695.47,1.33,3.61,4.38,77.12228158,11.48261787
3.31,77.12175431,11.48187989,3.94,38,13.42,297.63,1.21,1.64,4.97,0.066,1498.0846796756914,18,0.9475921105791298,High,8.746724836283563e-09,0.8309254439124631,High,Failed,1,4.76,1619.43,1.26,3.28,3.95,77.12175431,11.48187989
3.76,77.11261284,11.4912601,4.35,37,10.59,281.09,1.12,1.42,0.64,0.104,2231.7571188030015,19,0.061040387115634816,Low,8.807765223399199e-09,0.019373720448968124,Low,Intact,0,,,,,,77.11261284,11.4912601
